"Reverse Logistics Order Created Successfully.","Lệnh hậu cần đảo ngược đã được tạo thành."
"Convenience Store Pickup","Nhặt cửa hàng tiện lợi"
"Unable to select or save cvs location.","Không thể chọn hoặc lưu vị trí cvs."
"Cvs location with id ""%1"" does not exist.","Vị trí Cvs với ID ""%1"" không tồn tại."
"Unable to save cvs location.","Không thể lưu vị trí cvs."
"Unable to delete cvs location.","Không thể xóa vị trí cvs."
"Cvs location with quote address id ""%1"" does not exist.","Vị trí Cvs với địa chỉ trích dẫn là ""%1""."
"Cvs location with quote id ""%1"" does not exist.","Vị trí cvs ID ""%1"" không tồn tại."
"GWLogistics CVS","GWLogistics CVS"
"Quote Address id for Quote ""%1"" does not exist.","Không có địa chỉ trích dẫn ""%1""."
"Shipping Method","Phương thức vận chuyển"
"Reverse Logistic Order Creation","Tạo thứ tự logistic ngược lại"
"Create Shipping Label","Tạo vận nhãn chuyển"
"Enabled when authorized items require a new shipment.","Thực hiện khi các mặt hàng được ủy quyền yêu cầu một lô hàng mới."
"Order Informations","Thông tin đặt hàng"
"Shipping Address","Địa chỉ giao hàng"
"Shipping Method","Phương thức vận chuyển"
"No shipping information available","Không có thông tin vận chuyển"
"Billing Address","Địa chỉ thanh toán"
"Payment Method","Phương thức thanh toán"
"CVS Type","Loại CVS"
"CVS Store ID","CVS Store ID"
"CVS Store Name","Tên cửa hàng CVS"
"CVS Store Address","Địa chỉ cửa hàng CVS"
"CVS Store Telephone","Điện thoại lưu trữ CVS"
"Please wait.","Chờ chút nhé."
"No cvs location found.","Không tìm thấy vị trí cvs."
"There were %1 results for your search.","Có %1 kết quả tìm kiếm của bạn."
"Field ","Trường "
" is required."," được yêu cầu."
"Create Reverse Order","Tạo thứ tự đảo ngược"
"Green World Logistics Configuration","Green World Logistics Configuration"
Enabled,Cho phép
"Gateway URL","Đường Dẫn URL của Cổng Thanh Toán"
"Secure Gateway URL","Bảo vệ cổng URL"
"Map URL","URL bản đồ"
"Secure Map URL","URL bản đồ bảo mật"
Title,Tiêu đề
Mode,Phương thức
"Method Name","Tên Phương pháp"
"Shipping Cost","Chi phí vận chuyển"
"Show Method if Not Applicable","Hiển thị Phương pháp nếu không áp dụng được"
"Sort Order","Thứ tự sắp xếp"
"Family Mart","Family Mart"
"Seven Eleven","7 Eleven"
"FAMI","Family Mart"
"UNIMART","7 Eleven"
"[%sms_prefix] Dear %customer, your return order number is %rtn_order_number, please return your goods in 3 days.","[%sms_prefix] Kính gửi %customer, số hiệu trả lại của bạn là %rtn_order_number Vui lòng trả lại hàng trong vòng 3 ngày."
"Due to the abnormal delivery of the CVS, please contact the customer service and place the order again.", "Do việc giao hàng bất thường của CVS, xin liên hệ với dịch vụ khách hàng và đặt hàng lại."
"Shipment Failure", "Thất bại trong việc vận chuyển hàng hóa"
"Check the correct delivery (address/phone/receiver name)","Kiểm tra xem giao hàng có chính xác không (địa chỉ/di động/tên người nhận)"

