"Invalid login or password.","無效的登錄名或密碼。"
"Email / Phone number","電子郵件/電話號碼"
Password,密碼
"Sign In","登入"
"Forgot Your Password?","忘記密碼了嗎？"
"* Required Fields","* 必填項"
"Social Login","社交登錄"
"Welcome to use FB, Google, and LINE accounts to quickly log in. After setting, you can directly log in with FB and Google accounts!","歡迎使用Facebook, Google ,LINE帳號快速登入！"
"I am a member of Sulwhasoo Taiwan! Login now to complete the binding","我是會員，立即登入!"
"I am a member of Laneige Taiwan! Login now to complete the binding","我是台灣蘭芝會員! 立即登入完成綁定"
"Linked Account : Google ID/Facebook/Line","關聯帳戶：Google ID / Facebook /專線"
"Email / Mobile Number","電子郵件/手機號碼"
"Join Taiwan Laneige member! Complete binding","加入台灣蘭芝會員! 完成綁定"
"Join Taiwan Sulwhasoo member! Complete binding","加入會員"
Canel,卡內爾
OK,好
"Email Address / Mobile Number","電子郵件地址/手機號碼"
"Email Address","電子郵件地址"
"You can create an account after checkout.","您可以在結帳後創建一個帳戶。"
"You already have an account with us. Sign in or continue as guest.","登入會員累積會員點數"
Login,登錄
"Eguana Mobile Login","鬣蜥手機登錄"
"Mobile Login"," 手機登錄"
"General Setting","通用設置"
"Enable Module","啟用模塊"
"Please enter a valid email or phone num","請輸入有效的電子信箱或電話號碼"
"Please enter at least 10 characters in mobile no","請在手機號碼中輸入至少10個字符"
"Please enter no more than 11 characters.","請輸入不超過11個字符。"
"Enter email or mobile number","電子郵件/手機號碼"
