"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ hàng của mình."
"This product(s) is out of stock.","(Các) sản phẩm này đã hết hàng."
"We can't add the item to the cart right now.","Chúng tôi không thể thêm mặt hàng vào giỏ hàng ngay bây giờ."
"Enter the street address","Nhập địa chỉ đường phố"
"Enter the street address 2","Nhập địa chỉ đường phố 2"
"Enter the street address 3","Nhập địa chỉ đường phố 3"
"Phone Number","Số điện thoại"
Fax,Số fax
Company,Công ty
"Zip/Postal Code","Mã Zip / Mã Bưu điện"
City,City
"Last Name","Họ"
"First Name","Tên đầu tiên"
Next,Kế tiếp
Previous,Trước
