Send,Gửi
"Please Test Enter phone Number","Vui lòng kiểm tra nhập số điện thoại"
"Please Enter Test text message","Vui lòng nhập tin nhắn văn bản kiểm tra"
"Please enable extension","Vui lòng cho phép mở rộng"
"Test Sms has been sent on Your number","Kiểm tra sms đã được gửi theo số của bạn"
"Please enter valid Api credentials","Hãy nhập các chứng chỉ Api hợp lệ"
"Please check your api credentials","Vui lòng kiểm tra giấy chứng nhận ạ"
"Please Enter correct verification code","Vui lòng nhập mã xác minh đúng"
"Dear %customer Your order #%order has been canceled By %store_name","%customer thân mến đơn đặt hàng của bạn #%order đã bị %store_name hủy"
"[%store_name] Your order has been cancelled! We will complete the refund procedure within 30 days, please pay attention to whether the bank account has received a refund! If you have any questions, please call %store_phone","[%store_name] Đơn đặt hàng của bạn đã bị hủy! Chúng tôi sẽ hoàn thành thủ tục hoàn tiền trong vòng 30 ngày, vui lòng chú ý xem tài khoản ngân hàng đã nhận được tiền hoàn lại chưa! Nếu bạn có thắc mắc gì, vui lòng gọi cho %store_phone"
"Dear %customer Your order #%order has been dispatched By %store_name %store_phone","%customer thân mến đơn đặt hàng của bạn #%order đã được gửi đến bởi %store_name"
"Dear %customer Your order #%order is in hold state By %store_name","%customer thân mến đơn đặt hàng của bạn #%order đang trong tình trạng trì hoãn bởi %store_name"
"Dear %customer Your order #%order is in pending state By %store_name","%customer thân mến đơn đặt hàng #%order của bạn đang trong tình trạng chờ đợi bởi %store_name"
"Dear %customer Your order #%order is completed By %store_name %store_phone","%customer hân mến đơn đặt hàng của bạn #%orderđã được hoàn thành bởi %store_name"
"Dear %customer Your order #%order has been refunded By %store_name %store_phone","%customer thân mến đơn đặt hàng của bạn #%order đã được %store_name hoàn lại."
"Your verification number of %store_name is %code %customer %store_phone","Số xác nhận %store_name của bạn là %code"
"Eguana StoreSms","Eguana StoreSms"
"General Configuration","Cấu hình chung"
"Enable Extension","Enable Extension"
"Unique Mobile Number Validation","Kiểm tra số điện thoại di động độc đáo"
Username,Tên đăng nhập
Sender,Người gửi
Password,Mật khẩu
"Api url","Api url"
"Message templates","Các mẫu tin nhắn"
"Enable SMS based registration verification option","Dùng tùy chọn xác minh đăng ký dựa trên SMS"
"Register SMS Template","Đăng ký mẫu SMS"
"Send SMS after status changed to ""Pending Payment""","Gửi SMS sau khi tình trạng thay đổi thành ""Đang chờ xử lý thanh toán"""
Template,Mẫu
"Send SMS after status changed to ""On Hold""","Gửi SMS sau khi tình trạng thay đổi thành ""Giữ lại"""
"Send SMS after status changed to ""Processing""","Gửi SMS sau khi tình trạng thay đổi thành ""Đang tiến hành"""
"Send SMS after status changed to ""Cancel""","Gửi SMS sau khi tình trạng thay đổi thành ""Hủy bỏ"""
"Send SMS after status changed to ""Complete""","Gửi SMS sau khi tình trạng thay đổi thành ""Hoàn thành"""
"Send SMS after status changed to ""Closed""","Gửi SMS sau khi tình trạng thay đổi thành ""đóng cửa"""
"Send SMS when refund process has completed","Gửi SMS khi quá trình hoàn trả đã hoàn thành"
"Test Message","Thông điệp kiểm tra"
"Test Numbers","Số kiểm tra"
"Send test message","Gửi tin nhắn kiểm tra"
"%code is your %store_name verification code by %store_name","%code là mã xác minh %store_name của bạn bởi %store_name"
