"Please update Amasty Base module. Re-upload it and replace all the files.","請更新 Amasty Base module。 重新上載並更換所有文件。"
"Add to cart","加到購物車"
"Free Items","免費的贈品序號"
"Free gift <strong>%1</strong> was added to your shopping cart","贈品 <strong>%1</strong> 已加入至您的購物車"
"We apologize, but requested quantity of free gift <strong>%1</strong> is not available at the moment","我們表示歉意,但要求提供免費贈品 <strong>%1</strong> 暫時無法提供"
"We apologize, but products of type <strong>%1</strong> are not supported","我們道歉,但 <strong>%1</strong> 類型產品不支持"
"We apologize, but your free gift <strong>%1</strong> is not available at the moment","我們道歉,但您的免費贈品 <strong>%1</strong> 暫時無法使用"
"Subtotal Before Discounts","折扣前小計"
"Subtotal After Discounts","折扣後小計"
No,否
"Yes, free products only","是的,只限免費商品"
"Yes, discounted and free products","是的,折扣和免費的產品。"
"One By One","一個一個地"
Multiple,多重
"Could not migrate banners data. Exception message: %1. For details see exception log.","無法遷移橫幅數據。 例外消息: %1. 詳情請參閱例外日誌。"
"""\n"" .","""\n"" ."
"Item added by Free Gift Module","Item added by Free Gift Module"
"Auto add promo items with products","Auto add promo items with products"
"Auto add promo items for the whole cart","Auto add promo items for the whole cart"
"Auto add the same product","Auto add the same product"
"Auto add promo items for every $X spent","Auto add promo items for every $X spent"
"Add gift with each N-th product in the cart","Add gift with each N-th product in the cart"
"Automatically add products to cart","Automatically add products to cart"
sample,樣本
"Select all","全選"
"Unselect all","全部取消選擇"
" left"," left"
" left)"," left)"
From,From
Amount,Amount
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Other Amount..."
"Amount in %1","Amount in %1"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Choose an Option...","Choose an Option..."
"Each N-th","Each N-th"
"Number Of Gift Items","Number Of Gift Items"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Free Gift","Free Gift"
Information,Information
General,General
"Add Simple/Virtual/Downloadable Products Automatically, Without Confirmation","Add Simple/Virtual/Downloadable Products Automatically, Without Confirmation"
"Products will be added automatically only if there are no options to specify","Products will be added automatically only if there are no options to specify"
"Auto Add Free Items Based on Cart Amount","Auto Add Free Items Based on Cart Amount"
"Applicable only for Every X Spent Free Gift Rules","Applicable only for Every X Spent Free Gift Rules"
"Messages And Notifications Settings","Messages And Notifications Settings"
"Gifts Selection Method","Gifts Selection Method"
"Popup header text","Popup header text"
"""Add to Cart"" button text","""Add to Cart"" button text"
"Message For The Free Item In The Cart","Message For The Free Item In The Cart"
"Prefix For The Free Item Name In The Order","Prefix For The Free Item Name In The Order"
"Add Free Gift Message","Add Free Gift Message"
"Open Popup Automatically","Open Popup Automatically"
"Always open free gift popup on cart page if any free gift is available","Always open free gift popup on cart page if any free gift is available"
"Show Original Price in the Popup","Show Original Price in the Popup"
"Display Error Messages","Display Error Messages"
"Display Success Messages","Display Success Messages"
"Display Remaining Gifts Counter","Display Remaining Gifts Counter"
"Reminder about Available Promos","Reminder about Available Promos"
"Notification Message","Notification Message"
Limitations,Limitations
"Do not Offer Promos for Products with Special Price","Do not Offer Promos for Products with Special Price"
"Do not Offer Promos for Configurable Products when Child has Special Price","Do not Offer Promos for Configurable Products when Child has Special Price"
"Gift Images","Gift Images"
"Gift Image Width (px)","Gift Image Width (px)"
"Gift Image Height (px)","Gift Image Height (px)"
"Product Attribute for Header","Product Attribute for Header"
"Product Attribute for Description","Product Attribute for Description"
"Apply tax on original price of promo items added for free","Apply tax on original price of promo items added for free"
"Apply shipping on promo items added for free","Apply shipping on promo items added for free"
"Promo Items","Promo Items"
"Comma separated list of the SKUs","Comma separated list of the SKUs"
Type,Type
"All SKUs below","All SKUs below"
"One of the SKUs below","One of the SKUs below"
"Promo Items With Discount","Promo Items With Discount"
"Promo Items Discount","Promo Items Discount"
"Set fixed price (e.g. 20), fixed discount (e.g. -20) or a percent discount (e.g. 50%). Leave empty if you want to add product for free.","Set fixed price (e.g. 20), fixed discount (e.g. -20) or a percent discount (e.g. 50%). Leave empty if you want to add product for free."
"Minimal Price","Minimal Price"
"Show Gift images","Show Gift images"
