"Customer Bank Information","Thông tin ngân hàng khách hàng"
"Cvs location with id ""%1"" does not exist.","Vị trí Cvs không có ID ""%1""."
"Unable to save the bank info.","Không thể lưu thông tin ngân hàng."
"Unable to delete cvs location.","Không thể xóa vị trí cvs."
"Cvs location with order id ""%1"" does not exist.","Vị trí Cvs ID ""%1"" không tồn tại."
"Something is wrong when saving the bank information. Please contact our customer service.","Có gì đó không ổn khi lưu thông tin ngân hàng. Vui lòng liên hệ với dịch vụ khách hàng của chúng tôi."
"You requested to refund.","Anh đã yêu cầu hoàn tiền."
"You Refunded the order","Bạn đã hoàn lại đơn đặt hàng"
"Something is wrong with refund. Please contact our customer service.","Trả lại tiền có vấn đề gì đó. Vui lòng liên hệ với dịch vụ khách hàng của chúng tôi."
"Pending Refund","Đang trả lại tiền"
"Customer Bank Information for this Orders","Thông tin của ngân hàng khách hàng đối với đơn đặt hàng này"
"Request to Refund","Yêu cầu hoàn lại tiền"
"Please enter a bank information for your refund.","Vui lòng nhập thông tin ngân hàng để hoàn tiền."
"Order cancel and refund","Hủy đơn đặt hàng và hoàn trả lại"
"Bank Name","Tên ngân hàng"
"Account Owner Name","Tên chủ tài khoản"
"Bank Account Number","Số tài khoản ngân hàng"
"Could not submit your return request. Please try again later","Không thể nộp yêu cầu trả lại của bạn. Vui lòng thử lại sau"
Cancel,Hủy bỏ
"Refund Order Confirmation","Xác nhận lại đơn đặt hàng"
"Are you sure to refund this order?.","Bạn chắc chắn sẽ hoàn trả lại đơn đặt hàng này chứ?"
"Request to Return and Refund.","Yêu cầu trả lại và hoàn trả."
"Customer Refund","Trả lại khách hàng"
General,Chung
Enabled,Cho phép
"When enabled, customer can request to refund in the store front.","Khi được kích hoạt, khách hàng có thể yêu cầu hoàn tiền trước cửa hàng."
