"Invalid login or password.","Đăng nhập hoặc mật khẩu không hợp lệ."
"Email/Phone Number","Email/Số Điện thoại"
Password,Mật khẩu
"Sign In","Đăng nhập"
"Forgot Your Password?","Bạn quên mật khẩu?"
"* Required Fields","* Bắt buộc"
"Social Login","Social Login"
"Welcome to use FB, Google, and LINE accounts to quickly log in. After setting, you can directly log in with FB and Google accounts!","Chào mừng đến với việc sử dụng tài khoản FB, Google và LINE để đăng nhập nhanh chóng. Sau khi xác lập, bạn có thể trực tiếp đăng nhập bằng tài khoản FB và Google!"
"I am a member of Sulwhasoo Taiwan! Login now to complete the binding","Tôi là thành viên của Sulwhasoo! Hãy đăng nhập ngay để hoàn thành việc ràng buộc"
"I am a member of Laneige Taiwan! Login now to complete the binding","Tôi là thành viên của Laneige! Hãy đăng nhập ngay để hoàn thành việc ràng buộc"
"Join Taiwan Laneige member! Complete binding","Cùng tham gia với Laneige! Sự ràng buộc hoàn toàn"
"Join Taiwan Sulwhasoo member! Complete binding","Cùng tham gia Sulwhasoo nào! Sự ràng buộc hoàn toàn"
"Linked Account : Google ID/Facebook/Line","Tài khoản kết nối : Google ID/Facebook/Line"
"Email / Mobile Number","Email/Số Điện thoại"
Canel,Hủy bỏ
OK,Đồng ý
"Email Address / Mobile Number","Địa chỉ email/Số Điện thoại"
"Email Address","Địa chỉ email"
"You can create an account after checkout.","Bạn có thể tạo một tài khoản sau khi thanh toán."
"You already have an account with us. Sign in or continue as guest.","Bạn đã có một tài khoản trên hệ thống của chúng tôi. Đăng nhập hoặc tiếp tục như là khách."
Login,Đăng nhập
"Eguana Mobile Login","Eguana Đăng nhập di động"
"Mobile Login","Đăng nhập di động"
"General Setting","Thiết lập chung"
"Enable Module","Kích hoạt mô-đun"
"Please enter a valid email or phone num","Vui lòng nhập một email hoặc số điện thoại hợp lệ"
"Please enter at least 10 characters in mobile no","Vui lòng nhập ít nhất 10 ký tự vào di động số"
"Please enter no more than 11 characters.","Vui lòng nhập không quá 11 ký tự."
"Enter email or mobile number","Nhập email hoặc số điện thoại di động"
